geo,country,year,energy_production
ago,Angola,1971,9118.0
ago,Angola,1972,10520.0
ago,Angola,1973,11680.0
ago,Angola,1974,12110.0
ago,Angola,1975,11400.0
ago,Angola,1976,11160.0
ago,Angola,1977,10710.0
ago,Angola,1978,10180.0
ago,Angola,1979,11000.0
ago,Angola,1980,11300.0
ago,Angola,1981,10300.0
ago,Angola,1982,10400.0
ago,Angola,1983,12910.0
ago,Angola,1984,14290.0
ago,Angola,1985,15740.0
ago,Angola,1986,18340.0
ago,Angola,1987,22320.0
ago,Angola,1988,27060.0
ago,Angola,1989,27190.0
ago,Angola,1990,28650.0
ago,Angola,1991,29960.0
ago,Angola,1992,32750.0
ago,Angola,1993,30540.0
ago,Angola,1994,32950.0
ago,Angola,1995,36410.0
ago,Angola,1996,39790.0
ago,Angola,1997,41560.0
ago,Angola,1998,42970.0
ago,Angola,1999,43550.0
ago,Angola,2000,43680.0
ago,Angola,2001,43460.0
ago,Angola,2002,51430.0
ago,Angola,2003,51350.0
ago,Angola,2004,57610.0
ago,Angola,2005,70910.0
ago,Angola,2006,79990.0
ago,Angola,2007,95050.0
ago,Angola,2008,105800.0
ago,Angola,2009,101000.0
alb,Albania,1971,2418.0
alb,Albania,1972,2961.0
alb,Albania,1973,3001.0
alb,Albania,1974,2707.0
alb,Albania,1975,2909.0
alb,Albania,1976,3078.0
alb,Albania,1977,3170.0
alb,Albania,1978,3476.0
alb,Albania,1979,3386.0
alb,Albania,1980,3428.0
alb,Albania,1981,2687.0
alb,Albania,1982,2650.0
alb,Albania,1983,2808.0
alb,Albania,1984,3011.0
alb,Albania,1985,2809.0
alb,Albania,1986,2998.0
alb,Albania,1987,2903.0
alb,Albania,1988,2891.0
alb,Albania,1989,2901.0
alb,Albania,1990,2449.0
alb,Albania,1991,1915.0
alb,Albania,1992,1398.0
alb,Albania,1993,1326.0
alb,Albania,1994,1278.0
alb,Albania,1995,1236.0
alb,Albania,1996,1325.0
alb,Albania,1997,1102.0
alb,Albania,1998,1085.0
alb,Albania,1999,1070.0
alb,Albania,2000,986.0
alb,Albania,2001,882.9
alb,Albania,2002,959.3
alb,Albania,2003,1046.0
alb,Albania,2004,1153.0
alb,Albania,2005,1166.0
alb,Albania,2006,1192.0
alb,Albania,2007,1055.0
alb,Albania,2008,1153.0
alb,Albania,2009,1254.0
are,UAE,1971,52790.0
are,UAE,1972,59790.0
are,UAE,1973,76140.0
are,UAE,1974,83250.0
are,UAE,1975,84430.0
are,UAE,1976,97020.0
are,UAE,1977,101300.0
are,UAE,1978,94610.0
are,UAE,1979,95380.0
are,UAE,1980,90210.0
are,UAE,1981,82500.0
are,UAE,1982,71010.0
are,UAE,1983,66240.0
are,UAE,1984,64300.0
are,UAE,1985,63410.0
are,UAE,1986,73230.0
are,UAE,1987,80110.0
are,UAE,1988,83690.0
are,UAE,1989,101100.0
are,UAE,1990,110200.0
are,UAE,1991,127300.0
are,UAE,1992,134000.0
are,UAE,1993,131300.0
are,UAE,1994,133600.0
are,UAE,1995,137000.0
are,UAE,1996,142100.0
are,UAE,1997,147200.0
are,UAE,1998,150900.0
are,UAE,1999,142700.0
are,UAE,2000,156400.0
are,UAE,2001,152300.0
are,UAE,2002,149000.0
are,UAE,2003,163300.0
are,UAE,2004,171100.0
are,UAE,2005,174400.0
are,UAE,2006,185100.0
are,UAE,2007,185500.0
are,UAE,2008,187000.0
are,UAE,2009,168800.0
arg,Argentina,1971,30560.0
arg,Argentina,1972,30960.0
arg,Argentina,1973,30530.0
arg,Argentina,1974,30880.0
arg,Argentina,1975,30640.0
arg,Argentina,1976,31040.0
arg,Argentina,1977,32700.0
arg,Argentina,1978,33920.0
arg,Argentina,1979,36350.0
arg,Argentina,1980,38810.0
arg,Argentina,1981,39450.0
arg,Argentina,1982,39980.0
arg,Argentina,1983,41990.0
arg,Argentina,1984,42930.0
arg,Argentina,1985,42560.0
arg,Argentina,1986,42870.0
arg,Argentina,1987,43320.0
arg,Argentina,1988,46260.0
arg,Argentina,1989,47240.0
arg,Argentina,1990,48420.0
arg,Argentina,1991,50220.0
arg,Argentina,1992,54320.0
arg,Argentina,1993,56950.0
arg,Argentina,1994,62400.0
arg,Argentina,1995,66880.0
arg,Argentina,1996,72040.0
arg,Argentina,1997,77470.0
arg,Argentina,1998,79680.0
arg,Argentina,1999,80060.0
arg,Argentina,2000,82260.0
arg,Argentina,2001,84490.0
arg,Argentina,2002,81340.0
arg,Argentina,2003,84270.0
arg,Argentina,2004,87130.0
arg,Argentina,2005,84690.0
arg,Argentina,2006,86190.0
arg,Argentina,2007,82870.0
arg,Argentina,2008,82860.0
arg,Argentina,2009,80820.0
arm,Armenia,1990,137.3
arm,Armenia,1991,135.2
arm,Armenia,1992,262.7
arm,Armenia,1993,370.1
arm,Armenia,1994,303.1
arm,Armenia,1995,245.2
arm,Armenia,1996,741.8
arm,Armenia,1997,539.3
arm,Armenia,1998,547.3
arm,Armenia,1999,645.7
arm,Armenia,2000,632.0
arm,Armenia,2001,602.1
arm,Armenia,2002,738.3
arm,Armenia,2003,692.1
arm,Armenia,2004,746.4
arm,Armenia,2005,861.3
arm,Armenia,2006,846.0
arm,Armenia,2007,825.9
arm,Armenia,2008,797.1
arm,Armenia,2009,824.9
aus,Australia,1960,21310.0
aus,Australia,1961,22540.0
aus,Australia,1962,22890.0
aus,Australia,1963,23570.0
aus,Australia,1964,25360.0
aus,Australia,1965,28290.0
aus,Australia,1966,29580.0
aus,Australia,1967,31220.0
aus,Australia,1968,35270.0
aus,Australia,1969,38710.0
aus,Australia,1970,47700.0
aus,Australia,1971,53850.0
aus,Australia,1972,62430.0
aus,Australia,1973,67990.0
aus,Australia,1974,67500.0
aus,Australia,1975,74960.0
aus,Australia,1976,75250.0
aus,Australia,1977,82250.0
aus,Australia,1978,81620.0
aus,Australia,1979,86520.0
aus,Australia,1980,85410.0
aus,Australia,1981,97200.0
aus,Australia,1982,98610.0
aus,Australia,1983,107400.0
aus,Australia,1984,118400.0
aus,Australia,1985,128100.0
aus,Australia,1986,136500.0
aus,Australia,1987,148900.0
aus,Australia,1988,136700.0
aus,Australia,1989,144700.0
aus,Australia,1990,157500.0
aus,Australia,1991,167000.0
aus,Australia,1992,172100.0
aus,Australia,1993,174900.0
aus,Australia,1994,173500.0
aus,Australia,1995,186900.0
aus,Australia,1996,189800.0
aus,Australia,1997,201000.0
aus,Australia,1998,216500.0
aus,Australia,1999,213500.0
aus,Australia,2000,233600.0
aus,Australia,2001,253800.0
aus,Australia,2002,263500.0
aus,Australia,2003,263600.0
aus,Australia,2004,269300.0
aus,Australia,2005,280100.0
aus,Australia,2006,281500.0
aus,Australia,2007,298600.0
aus,Australia,2008,301000.0
aus,Australia,2009,310700.0
aus,Australia,2010,324000.0
aut,Austria,1960,7358.0
aut,Austria,1961,7122.0
aut,Austria,1962,7285.0
aut,Austria,1963,7749.0
aut,Austria,1964,7698.0
aut,Austria,1965,7995.0
aut,Austria,1966,8153.0
aut,Austria,1967,7793.0
aut,Austria,1968,7558.0
aut,Austria,1969,7362.0
aut,Austria,1970,7953.0
aut,Austria,1971,7366.0
aut,Austria,1972,7333.0
aut,Austria,1973,7919.0
aut,Austria,1974,7816.0
aut,Austria,1975,7805.0
aut,Austria,1976,7236.0
aut,Austria,1977,7668.0
aut,Austria,1978,7828.0
aut,Austria,1979,8007.0
aut,Austria,1980,7632.0
aut,Austria,1981,7414.0
aut,Austria,1982,7491.0
aut,Austria,1983,7302.0
aut,Austria,1984,7352.0
aut,Austria,1985,7562.0
aut,Austria,1986,7663.0
aut,Austria,1987,8058.0
aut,Austria,1988,9190.0
aut,Austria,1989,8619.0
aut,Austria,1990,8107.0
aut,Austria,1991,8349.0
aut,Austria,1992,8555.0
aut,Austria,1993,8765.0
aut,Austria,1994,8397.0
aut,Austria,1995,8738.0
aut,Austria,1996,8634.0
aut,Austria,1997,8706.0
aut,Austria,1998,8881.0
aut,Austria,1999,9721.0
aut,Austria,2000,9780.0
aut,Austria,2001,9775.0
aut,Austria,2002,9819.0
aut,Austria,2003,9601.0
aut,Austria,2004,9898.0
aut,Austria,2005,10060.0
aut,Austria,2006,10140.0
aut,Austria,2007,10880.0
aut,Austria,2008,11220.0
aut,Austria,2009,11400.0
aut,Austria,2010,11170.0
aze,Azerbaijan,1990,20640.0
aze,Azerbaijan,1991,18970.0
aze,Azerbaijan,1992,18150.0
aze,Azerbaijan,1993,16390.0
aze,Azerbaijan,1994,14940.0
